,Phone Name,Phone Price
91,"Redmi Note 5 Pro (Red, 64 GB)","₹14,999"
92,"Redmi 6A (Gold, 16 GB)","₹5,995"
93,"Redmi Note 5 (Blue, 32 GB)","₹9,100"
94,"Redmi 7A (Matte Black, 16 GB)","₹6,499"
95,"Redmi Y1 lite (Grey, 16 GB)","₹7,499"
96,"Redmi Note 5 (Blue, 32 GB)","₹10,999"
97,"Redmi Note 5 Pro (Red, 64 GB)","₹14,999"
98,"Redmi 6A (Gold, 16 GB)","₹5,995"
99,"Redmi 7A (Matte Black, 16 GB)","₹6,499"
100,"Redmi Y1 lite (Grey, 16 GB)","₹7,499"
101,"Redmi Y2 (Dark Grey, 64 GB)","₹13,499"
102,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹16,999"
103,"Redmi Y3 (Bold Red, 64 GB)","₹11,999"
104,"Mi 10i (Midnight Black, 64 GB)","₹21,999"
105,"Mi 4i (Blue, 16 GB)","₹11,999"
106,"Redmi Go (Black, 16 GB)","₹5,999"
107,"Redmi 6A (Gold, 32 GB)","₹5,742"
108,"Redmi Y2 (Blue, 64 GB)","₹13,499"
109,"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹15,999"
110,"Mi 10i (Atlantic Blue, 64 GB)","₹21,999"
111,"Redmi Note 8 (Cosmic Purple, 128 GB)","₹15,999"
112,"Redmi 5 (Lake Blue, 16 GB)","₹6,890"
113,"Redmi Y2 (Rose Gold, 64 GB)","₹13,499"
114,"Redmi Note 5 Pro (Blue, 64 GB)","₹16,999"
115,"Redmi 6A (Black, 16 GB)","₹5,745"
116,"Redmi 6A (Black, 32 GB)","₹5,599"
117,"Redmi 8A Dual (Sea Blue, 32 GB)","₹8,999"
118,"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹17,570"
119,"Mi Max 2 (Black, 64 GB)","₹13,990"
